"","event_hash","variable","place_hash","name_cleaner_a","name_cleaner_b","rex_match","string_dist_osa"
"88","10bb2e11","V10","b45dc65061e11f7a","ansteys farm","ol orok lughunya",NA,15
"89","10d09c9d","V1","ea9b7cfaa9c2a59c","kimbimbi","kimbimbi",1,0
"90","10d09c9d","V6","684a17510fb0ec81","kimbimbi","mathaguta",NA,9
"91","10d09c9d","V7","76310ec4738bbcf9","kimbimbi","mugumoini",NA,7
"92","10d09c9d","V8","518d1317a4088ff3","kimbimbi","matandara",NA,9
"93","10d46ce6","V1","f3990f210888b77a","nyeri","gathiuru",NA,7
"94","10d46ce6","V2","add20f20948cc943","nyeri","naro moru link road",NA,16
"95","10d46ce6","V3","68627267aefe1c68","nyeri","naromorulinkroad",NA,13
"96","10d46ce6","V4","5f1d08905c0a1975","nyeri","kirugutu",NA,8
"97","10d46ce6","V7","635e188ebc4d250e","nyeri","mathanjui",NA,8
"98","10d46ce6","V8","3f073552d17e4843","nyeri","yururu",NA,5
"99","10d46ce6","V9","6d72af8474fa69e6","nyeri","miruriiri",NA,7
"100","10d46ce6","V10","25308ac2f53ca88a","nyeri","to naromoru gate",NA,14
"101","10db5a7","V1","46b43dcfc471e174","nelson","lamuria",NA,7
"102","10db5a7","V2","a5d1a693189c355f","nelson","lamuria farm",NA,12
"103","10db5a7","V6","231724eec5714905","nelson","karameno",NA,7
"104","10db5a7","V8","e26a87710af0801a","nelson","ol orok lughunya",NA,14
"105","10db5a7","V10","12281a38f73999fc","nelson","lughunya",NA,7
"106","10f04a89","V1","81f48f41e9c0a4ca","kagaari","mbuinjeru",NA,8
"107","10f04a89","V2","451003855d14808f","kagaari","kanja sublocation",NA,12
"108","10f04a89","V7","db42221af0cd7e73","kagaari","kagaari north",NA,6
"109","10f04a89","V9","c9505aa0d9595976","kagaari","kanjasublocation",NA,11
"110","10fc544e","V1","4cbb60c1126a3b8a","marania","rapsu",NA,5
"111","10fc544e","V3","f09eed49691fb5fd","marania","kinna",NA,5
"112","10fc544e","V5","22332c0c1ba92563","marania","meru national park",NA,13
"113","10ff32df","V1","220aef7755e30c50","rundgren s farm","naro moru",NA,11
"114","10ff32df","V2","cab05bd1c731c51c","rundgren s farm","kiamathaga",NA,14
"115","10ff32df","V4","3f073552d17e4843","rundgren s farm","yururu",NA,12
"116","10ff32df","V5","635e188ebc4d250e","rundgren s farm","mathanjui",NA,14
"117","10ff32df","V6","6d72af8474fa69e6","rundgren s farm","miruriiri",NA,13
"118","10ff32df","V7","55e58a35371b2f29","rundgren s farm","simba taru",NA,12
"119","10ff32df","V9","0959bf47dea6ff43","rundgren s farm","hangingtarn",NA,10
"120","10ff32df","V10","ea79486d4796f792","rundgren s farm","simba kampiya",NA,14
"121","11022587","V1","58725fa4254c0045","01 arabel","tandare mixed secondary school",NA,26
"122","11022587","V2","a2c4dacded446446","01 arabel","tandare primary school",NA,18
"123","11022587","V3","ec2f3ca500d8eadc","01 arabel","tandare",NA,7
"124","11022587","V6","dc6be568e45eb753","01 arabel","muthiga",NA,9
"125","11022587","V8","287def45f56985e6","01 arabel","ilariak",NA,7
"126","11022587","V9","246267b5da6174f5","01 arabel","lariak forest reserve",NA,18
"127","1124281","V1","f15713e55225d51e","nakuru lake forest","kairimwihoti",NA,15
"128","1124281","V2","f85f18f2becc2339","nakuru lake forest","islandfarm",NA,14
"129","1124281","V3","5845498241053876","nakuru lake forest","githioro",NA,16
"130","1124281","V4","c79784b8a8467991","nakuru lake forest","kiandongoro",NA,15
"131","1124281","V5","289748c014438539","nakuru lake forest","aberdarenationalpark",NA,18
"132","1124281","V6","5d67a74be4227816","nakuru lake forest","island farm",NA,13
"133","1124281","V8","60f42157c42edcc8","nakuru lake forest","thainaroad",NA,16
"134","1124281","V9","7b2db02e0eea86da","nakuru lake forest","gakanga",NA,15
"135","1124281","V10","ebdb08986cb79f0c","nakuru lake forest","kirurumi",NA,14
"136","1130f810","V1","33f0490a4c7fdd44","gaturi","kiriaini",NA,7
"137","1130f810","V2","cc35bbd4f8560798","gaturi","kiru",NA,5
"138","1130f810","V3","db063477854464e6","gaturi","maunarok",NA,6
"139","1130f810","V5","3e969f325b945663","gaturi","kiriani",NA,6
"140","1130f810","V9","cae299c95c65f776","gaturi","kirianini",NA,7
"141","113b769","V1","7983361701bfa017","smith","supukolooltian",NA,12
"142","113b769","V2","b7c48858ca41c4c2","smith","gathanji",NA,7
"143","113b769","V4","bda2099ce62ed956","smith","tandamara",NA,8
"144","113b769","V6","fb3dfdb72bf8ddfc","smith","gilgil",NA,6
"145","113b769","V7","a887f7af88a498dc","smith","tighnabruaich estate",NA,18
"146","113b769","V8","ab54ff1b44bd8c24","smith","oleolondofarm",NA,13
"147","113b769","V9","8c29fcd2ae049966","smith","ngano",NA,5
"148","113c339f","V1","51eaafd9e69bcd95","kahuti","kahuti kenya",NA,6
"149","113c339f","V2","2d917ab976c5dff1","kahuti","gitweku",NA,7
"150","113c339f","V3","2be315440a5a439a","kahuti","marimiraforest",NA,12
"151","113c339f","V5","531d784bab4cf653","kahuti","kahuti",1,0
"152","113c339f","V6","9e4d037539dcaf2d","kahuti","marimira forest",NA,13
"153","113ec43b","V1","7087db0696d36fbe","kierera hill","kierera forest",NA,6
"154","113ec43b","V2","7fb456d0b1d6d7df","kierera hill","kiereraforest",NA,6
"155","113ec43b","V5","65f0e1a305b67d57","kierera hill","kamanyaki",NA,9
"156","113ec43b","V7","daa8934df366e52e","kierera hill","mbacaca primary",NA,12
"157","113ec43b","V8","63f1e27943dcc631","kierera hill","kamurige sublocation",NA,16
"158","1140afd5","V1","785175991115776c","botha","kianjogu",NA,8
"159","1140afd5","V3","4b6fe49365595ba8","botha","kanyagia",NA,7
"160","1140afd5","V4","5de6ef7982980a78","botha","leshao",NA,4
"161","1140afd5","V6","b2006ec91910a134","botha","ool moridzo",NA,10
"162","1140afd5","V7","359e6a590fd4e311","botha","ol morijo ongata",NA,14
"163","1140afd5","V9","77f7cc4e9784e562","botha","wanjohi",NA,6
"164","1140afd5","V10","e657c7d49c6648a5","botha","equator sign",NA,11
"165","115d8145","V1","b83d783f1379d4fb","inoi","karunga",NA,6
"166","115d8145","V5","533038f8414208c9","inoi","pembroke house school",NA,20
"167","115d8145","V6","2cae60a72b23ac43","inoi","gilgil war cemetery",NA,17
"168","115d8145","V8","b325fdfdccad210c","inoi","gilgil club",NA,9
"169","1168da2c","V1","bfc8a475d54efbc3","kianjokoma","mwirithii",NA,10
"170","1168da2c","V2","43971de9af1d5408","kianjokoma","mwirithie",NA,10
"171","1168da2c","V5","c37589c1d44828d6","kianjokoma","new thuchi lodge",NA,15
"172","1168da2c","V6","b6a336d145d46fb4","kianjokoma","kinoru",NA,6
"173","1168da2c","V7","374fa62a1401caea","kianjokoma","mukuuni sublocation",NA,15
"174","1178800d","V1","71d2ff536396f353","shaw","erong",NA,5
"175","1178800d","V2","862b0b7ef555ff3b","shaw","marula valley farm",NA,17
"176","1178800d","V4","8035907206d6784b","shaw","marulavalleyfarm",NA,15
"177","1178800d","V5","eded5d8bda157144","shaw","ol oju ilughungu",NA,15
"178","1178800d","V6","ea7081df4084cd57","shaw","e uaso narok swamp",NA,15
"179","1178800d","V7","e3cb3c5888d95e2f","shaw","ol oju ilughunyu",NA,15
"180","1178800d","V8","c74160f1554e1e60","shaw","ewaso narok swamp",NA,14
"181","117d389a","V1","10008f4ce80e32eb","kiangonya","kiangunyi",NA,2
"182","117d389a","V2","a1e5443104bdb5dc","kiangonya","koimbi",NA,8
"183","117d389a","V3","192f0ab12f224d23","kiangonya","weithaga coffee nurseries",NA,21
"184","117d389a","V4","dfa1e2c339225af4","kiangonya","weithaga",NA,8
"185","1188be62","V1","c4352c06a7a303e4","aberdares","eland hill road",NA,13
"186","1188be62","V3","8dc6745d12c3bb27","aberdares","shamata",NA,8
"187","1188be62","V5","008ea62d62ed5ce1","aberdares","supuko lereko",NA,11
"188","1188be62","V6","e137b296d8d48568","aberdares","pesi",NA,8
"189","1188be62","V8","361d172dd7ef287e","aberdares","aberdare forest",NA,6
"190","119fef62","V1","be7c20254ae34c50","long","marmanet settlement",NA,17
"191","119fef62","V3","c1a9a23b07d938e4","long","muthengera",NA,8
"192","119fef62","V8","dc12ac3d19919213","long","kabati",NA,6
"193","11acdfe0","V1","398b4217ebb35ca6","eburru and area of gilgil and malewa rivers","kasarani",NA,37
"194","11acdfe0","V3","a1b338e38924f84c","eburru and area of gilgil and malewa rivers","loldia",NA,39
"195","11acdfe0","V6","e2a084091b0c8329","eburru and area of gilgil and malewa rivers","endabibi",NA,37
"196","11acdfe0","V8","fccc712ff0d992a3","eburru and area of gilgil and malewa rivers","ndabibi",NA,38
"197","11b2f194","V1","542e570a28f5a2b5","s mathioya valley","gitugu",NA,16
"198","11b2f194","V6","9dd0ab69b050c04f","s mathioya valley","rwathia",NA,12
"199","11b2f194","V10","4fcac5e4b5f04ca4","s mathioya valley","kiairathe",NA,13
"200","11b6a92c","V1","de6114bbe4708d64","mweiga","observation hill",NA,14
"201","11b6a92c","V2","909b6420a25cbad4","mweiga","bellevue",NA,7
"202","11b6a92c","V3","9cfe6084835de50f","mweiga","belle vue",NA,8
"203","11b6a92c","V5","09c2cbb80418e0a3","mweiga","buffalo hill",NA,11
"204","11b6a92c","V8","74e6c77c99d7b219","mweiga","buffalohill",NA,10
"205","11b6a92c","V9","3e06312fa15972fb","mweiga","observationhill",NA,13
"206","11c43ec9","V1","935a5399ed6bc90e","gichugu","castle forest station",NA,21
"207","11c43ec9","V3","25ad7a3839894b0e","gichugu","muthereglade",NA,10
"208","11c43ec9","V4","f024ff7c30bde9da","gichugu","muthere glade",NA,11
"209","11c43ec9","V5","350417bf29a31625","gichugu","mutheri glade",NA,11
"210","11c43ec9","V8","347ddee14b06ed03","gichugu","castleforeststation",NA,19
"211","11c738d5","V1","f276a9fda2aa03f4","maguga forest","muguga forest",NA,1
"212","11c738d5","V3","ff02cf9577ce53ba","maguga forest","mugaga forest reserve",NA,10
"213","11c738d5","V7","ecd63c134d353985","maguga forest","south mugaga",NA,11
"214","11c738d5","V8","cef0ece22a443ae8","maguga forest","kari",NA,11
"215","11c738d5","V10","d364ad575dfd9aeb","maguga forest","mugagaforestreserve",NA,10
"216","11ca3960","V1","69938fcd9b22fb4d","marmanet","nyahururu forest",NA,12
"217","11ca3960","V2","50cec75762d5b054","marmanet","kirima",NA,6
"218","11ca3960","V5","869df523c0e862e8","marmanet","maina",NA,5
"219","11ca3960","V6","82166a3f46bb2386","marmanet","shamenek",NA,5
"220","11f5045d","V1","0b9bed9f7ec957df","gatarbara","gekando",NA,7
"221","11f5045d","V2","202dca4b5e6eacdd","gatarbara","gathambara",NA,2
"222","11f5045d","V3","4c35cb6cc9880ce6","gatarbara","mukangu",NA,8
"223","11f67393","V1","727bcb9594eede04","s mathioya","tuso",NA,8
"224","11f67393","V2","962b0bcded42fb2e","s mathioya","karuris",NA,9
"225","11f679d9","V1","40666f191951ff2e","forest","githika",NA,7
"226","11f679d9","V5","f9ab56659adad1fd","forest","kanderendutrack",NA,12
"227","11f679d9","V6","811f6eee2d5284c6","forest","kanderendu track",NA,13
"228","11f679d9","V9","50eac88c0a1c6a6b","forest","kanderendu",NA,8
"229","11f72bb0","V1","79de6e4cf81791a4","fort hall","kiangaisublocation",NA,17
"230","11f72bb0","V2","f026b9c26484961b","fort hall","gathinga",NA,8
"231","11f72bb0","V3","3ba0263485be8b34","fort hall","rongai",NA,7
"232","11f72bb0","V4","cd4281e415d413de","fort hall","kangaita",NA,9
"233","11f72bb0","V5","47fee23d180ca50f","fort hall","thagara",NA,8
"234","11f72bb0","V6","95339fa2b56c6f74","fort hall","sagara",NA,8
"235","11f72bb0","V7","2457e928d52a2fb3","fort hall","thuthuriki",NA,9
"236","11f72bb0","V8","1631fb3b1a213761","fort hall","gatusublocation",NA,14
"237","11f72bb0","V9","835d42bf3bbad3ce","fort hall","kathaiya",NA,7
"238","11f72bb0","V10","442f85f803cb7037","fort hall","kirinyagadistrict",NA,15
"239","12024d28","V1","d5df395f94f7ac64","mutira","mutira",1,0
"240","12024d28","V3","6c8a1fee90f65a76","mutira","mutito",NA,2
"241","12024d28","V4","bc0f0d178cce0d14","mutira","mutitu",NA,2
"242","1205ce3a","V1","61c672886fb995ac","fort hall mission","mathioya river",NA,14
"243","1205ce3a","V2","58c23bfe41cc7ec9","fort hall mission","saint marys",NA,14
"244","1205ce3a","V3","39ed85eaf8772a7b","fort hall mission","kariciungu",NA,15
"245","1205ce3a","V4","87638f2090a82bba","fort hall mission","karichiungu",NA,14
"246","1205ce3a","V5","9fb35fcd3cdb2943","fort hall mission","karichungu",NA,15
"247","12070ade","V1","13c997ba7c31fd71","ithareni","gakoigokabare road",NA,14
"248","12070ade","V2","d824fa058992176a","ithareni","ngiroche",NA,8
"249","12070ade","V4","d5e881fa9c1031fc","ithareni","kiringa",NA,7
"250","12070ade","V6","60e203b305bb2c62","ithareni","keringa",NA,7
"251","12070ade","V7","7d30b73123a90164","ithareni","ithareni",1,0
"252","12070ade","V9","d19cfe1a43c4b060","ithareni","kabare",NA,5
"253","12112d2e","V1","b4577feb32104504","ngariama","karumba",NA,5
"254","12112d2e","V5","6255578693977008","ngariama","riagicheru",NA,8
"255","12112d2e","V7","c7502207bb53e676","ngariama","kimbimbi",NA,7
"256","122b796d","V1","15201ee117020f42","ndaragwa","dundoli",NA,7
"257","122b796d","V2","9e4dd81450aa9fa4","ndaragwa","meerbank farm",NA,10
"258","122b796d","V4","621bece775ca1502","ndaragwa","endorohr",NA,6
"259","122b796d","V10","395855d7035722a3","ndaragwa","lake ol bolossat",NA,15
"260","1232d497","V1","9ce5d924d15fec06","location 20","samakifarm",NA,9
"261","1232d497","V2","28ff4e94982fe71d","location 20","elephant",NA,10
"262","1232d497","V3","6a9984bc8f4b2921","location 20","belvueroad",NA,11
"263","1232d497","V4","56ff733d247e4c3b","location 20","ilpejeta",NA,11
"264","1232d497","V5","83e754f46490896e","location 20","sirrima",NA,10
"265","1232d497","V6","43ee8b9fa2b0266a","location 20","muhonia",NA,9
"266","1232d497","V9","cab38190bb93ad56","location 20","lolpejeta ol doinyo",NA,14
"267","1232d497","V10","a3c70f06725af18c","location 20","il pejeta",NA,11
"268","12488107","V1","dce9c33d744d44ba","north kinangop","kangoyo",NA,10
"269","12488107","V5","caad7f0332d386c9","north kinangop","mekaro",NA,11
"270","12488107","V8","64cfb77e82078e0b","north kinangop","getamill",NA,12
"271","12488107","V9","b5cd74c3bb196355","north kinangop","geta mill",NA,11
"272","1254e123","V1","ed557e628e6d6db3","sirimon river","naromoruroute",NA,9
"273","1254e123","V2","0a862c74fdb7a852","sirimon river","sirimon gate",NA,4
"274","1254e123","V3","bdeb2d9555a21fa4","sirimon river","klarwillshut",NA,13
"275","1254e123","V4","f42e6fbd387d20bb","sirimon river","telekivalley",NA,12
"276","1254e123","V5","3dce315470993751","sirimon river","sirimon road",NA,4
"277","1254e123","V8","4bce28c0f4f26f43","sirimon river","sirimonroad",NA,5
"278","1254e123","V9","2fc4bd683ad0f33c","sirimon river","kithithina",NA,11
"279","12566442","V1","cac64bff274de07d","hindes farm","loldaigamountains",NA,15
"280","12566442","V2","41cfc90b6fa3668c","hindes farm","loldaiga mountains",NA,15
"281","12566442","V4","0d17db703d15d079","hindes farm","loldaika mountains",NA,15
"282","12566442","V5","5431b7238617b000","hindes farm","il doigan",NA,9
"283","12566442","V6","69b995bbe47699d9","hindes farm","ildoigan",NA,8
"284","12566442","V9","75828e246d890a75","hindes farm","umande",NA,9
"285","1259377c","V1","88cef5442e4354ba","wambura river","ituru",NA,11
"286","1259377c","V2","120b79816c94e1f5","wambura river","githuva",NA,11
"287","1259377c","V3","c7621589da8cae1f","wambura river","kamunyuini",NA,9
"288","1259377c","V4","df63e82bc8c6aba4","wambura river","githuya",NA,11
"289","1259377c","V6","d1108307dbe8acd8","wambura river","ngenda location",NA,14
"290","1259377c","V7","e43084e710e7daa3","wambura river","wamwagi",NA,8
"291","1259377c","V8","3b70aca017f6bec5","wambura river","wamwangi sublocation",NA,16
"292","1259377c","V9","9f265e1e3b67e5bd","wambura river","wamwangi",NA,8
"293","125acd00","V1","dfd5ba76a998e8ff","mr hardys farm","thika farm",NA,8
"294","125acd00","V3","eba71c1a87937de1","mr hardys farm","granville estate",NA,13
"295","125acd00","V5","d75e63cc84cdd47f","mr hardys farm","bahati",NA,12
"296","125acd00","V8","a054a5b67c36b1fd","mr hardys farm","komo farm",NA,9
"297","125acd00","V9","3e92685802c51fac","mr hardys farm","macadamia processing plant",NA,20
"298","125acd00","V10","38a21299073fff5a","mr hardys farm","bahati ridge gated community",NA,22
"299","1260c1ec","V1","11c3efdf472b1459","heppes farm","mweiga",NA,9
"300","1260c1ec","V3","d6fafb0b9700ddf7","heppes farm","gate aberdares national park",NA,22
"301","1260c1ec","V4","7e9c72207a9bd5e9","heppes farm","ruhutie",NA,11
"302","1260c1ec","V5","32a4d06575216f9f","heppes farm","ruhutii",NA,11
"303","126f083e","V1","cf8d5058a946815b","location 11","mortuary road",NA,11
"304","126f083e","V2","e946c0916a25c96c","location 11","muranga district hospital",NA,21
"305","126f083e","V3","b686e2dce3e3f144","location 11","county agrovet",NA,12
"306","126f083e","V4","2dd52cd4ca9dd1c2","location 11","jappas agrovet",NA,13
"307","126f083e","V5","5f27a936be2807c3","location 11","mwanjo pharmacy",NA,14
"308","126f083e","V6","d8f02ca4841e4956","location 11","maathai supermarket",NA,17
"309","126f083e","V9","7f437c424eed12db","location 11","chemist",NA,10
"310","126f083e","V10","daddcd26472ce690","location 11","smiles dental lab",NA,15
"311","1273002b","V1","f33f3b9b5edb3ebe","location 1","chania",NA,8
"312","1273002b","V2","3ae1a4aca7686ea2","location 1","gakurari",NA,9
"313","1273002b","V3","a81cec63dd5dcbed","location 1","kigio",NA,8
"314","1273002b","V4","0c47f61d60d5945c","location 1","kicio",NA,7
"315","127f80c6","V1","d56aca13bc315349","location 1","kirangasublocation",NA,12
"316","127f80c6","V2","33212ba946d13e31","location 1","ngararia",NA,9
"317","127f80c6","V3","1d37966b497ecf74","location 1","naaro",NA,8
"318","127f80c6","V4","9dbd4d0354b84198","location 1","ngarariasublocation",NA,13
"319","127f80c6","V7","f413910c954232d7","location 1","kiranga",NA,8
"320","127f80c6","V8","7adb889c61b5ce13","location 1","kiranga sublocation",NA,13
"321","127f80c6","V10","d59e584b469719a2","location 1","giati location",NA,8
"322","1282cf38","V1","71d2ff536396f353","ridley shaw","erong",NA,10
"323","1282cf38","V2","862b0b7ef555ff3b","ridley shaw","marula valley farm",NA,13
"324","1282cf38","V4","8035907206d6784b","ridley shaw","marulavalleyfarm",NA,13
"325","1282cf38","V5","eded5d8bda157144","ridley shaw","ol oju ilughungu",NA,14
"326","1282cf38","V6","c74160f1554e1e60","ridley shaw","ewaso narok swamp",NA,14
"327","1282cf38","V7","e3cb3c5888d95e2f","ridley shaw","ol oju ilughunyu",NA,14
"328","1282cf38","V9","ea7081df4084cd57","ridley shaw","e uaso narok swamp",NA,15
"329","12858f71","V1","369ef57bbfda33d8","meyler","siron",NA,6
"330","12858f71","V3","74fad22d7aa868ed","meyler","maeli saba",NA,8
"331","12858f71","V4","bf38ec0f0f73110e","meyler","aberdareforest",NA,11
"332","12858f71","V5","ff86fa5511cee298","meyler","maina",NA,5
"333","12858f71","V8","111a1c5ab9209f56","meyler","subuku",NA,6
"334","12858f71","V9","29d1d34d2da197df","meyler","subuko",NA,6
"335","12a2270b","V1","ca2a1656bbf2744e","dawsons farm","kipipiri",NA,11
"336","12a2270b","V3","5d3ee9448e5009d0","dawsons farm","kipipyare house",NA,14
"337","12a2270b","V6","82e4e1b19eaa26e0","dawsons farm","githioro",NA,11
"338","12a652a5","V1","c7b42af901b06583","kanderendu","munungaforestguardpost",NA,18
"339","12a652a5","V2","3b0dbeb57e403ba0","kanderendu","gikigie",NA,9
"340","12a652a5","V3","e65f466628fd4199","kanderendu","kinyona",NA,7
"341","12a652a5","V4","dbc188d930baf394","kanderendu","mairii",NA,8
"342","12a652a5","V5","b3c101644227100f","kanderendu","mununga forest guard post",NA,21
"343","12ac04ca","V1","1bf0d932d918f61a","mariashone timber company","mariathani",NA,17
"344","12ac04ca","V4","3b1d941b9def10ad","mariashone timber company","gitiro",NA,20
"345","12ac04ca","V6","87efd06b96c9a1b9","mariashone timber company","elbaflora horticultural farm b",NA,25
"346","12ac04ca","V7","407e22dc02fd9c9e","mariashone timber company","dam",NA,23
"347","12ac04ca","V8","fb9da66c4ad78624","mariashone timber company","marashoni",NA,16
"348","12ad6756","V1","5a9b4a6d6e5b3dd6","kiambu","matunguru",NA,8
