document_number,document_district,document_date,file_name,document_page_number,paragraph_number,event_date,location_text,map_coordinate,type,initiator,initiator_numbers,target,target_numbers,affected_count,government_killed,government_wounded,government_captured,rebels_killed,rebels_wounded,rebels_captured,civilians_killed,civilians_wounded,civilians_captured
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,30,23.03.1953,Raymond Hook's farm Nanyuki,,Arson,Mau Mau,,house,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,31,23.03.1953,Embu Ithareni Market,HZR 7884,Arson,Mau Mau,,Shop,,,,,,,,,,1,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1319_1L,,32,23.03.1953,Meru Nuthambi,HZR 1870,Contact,Mau Mau,,Guard,,,1,,,,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,33,24.03.1953,Thegenga S.N.R,,Contact,Guard,,Gang,,,,,,,,3,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,34,23.03.1953,Thorpe's Farm Ngobit,HZR 1573,Arson,Mau Mau,,House & Store,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,35,24.03.1953,De Beer's Farm Nyeri,HZR 4468,Contact,Police,,Gang,,,,,,,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,36,22.03.1953,Rukui Fort Hall,HZR 2212,Contact,Mau Mau,,Guard,,,,,,,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,37,22.03.1953,Kinugia Valley Fort Hall,HZR 3009,Contact,Guard,,man,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1320_1L,,38,23.03.1953,Loc 10 Fort Hall,HZR 4118,Contact,Guard,,Gang,4,,,,,2,,2,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,40,25.03.1953,Sagana River S.N.R,HZR 4954,Capture,Guard,,men,4,,,,,,,4,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,41,25.03.1953,Harley's Farm Ngobit,HZR 1570,Contact,Guard,,Gang,,,,,,1,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,42,24.03.1953,Kihoya trading Centre.Fort Hall,HZR 3224,Contact,Guard,,Gang,,,,,,1,2,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,43,24.03.1953,Nuralandia Fort Hall,HZR 3520,Contact,Guard,,African,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,44,24.03.1953,Moroigori Fort Hall,HZR 4818,Contact,Mau Mau,,Guard,,,,,,2,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,45,25.03.1953,Tetu Loc S.N.R,HZR 2752,Contact,Guard,,Gang,Small,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1321_1L,,46,25.03.1953,Tetu Loc S.N.R,HZR 3156,Contact,Guard,,man,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,47,25.03.1953,Chinga Forest S.N.R,HZR 2835,Contact,Guard,,Gang,,,,1,,,,3,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,48,25.03.1953,Cole's Estate,HZR 3478,Capture,Guard,,Mau Mau,,,,,,,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,49,25.03.1953,Paico's farm Nanyuki,HZR,Theft,Mau Mau,,Stock,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,51,26.03.1953,Burguret Estate Nanyuki,HZR 4692,Contact,Guard,,Gang,20,,,,,1,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,52,25.03.1953,Kamoni Fort Hall,HZR 4837,Contact,Guard,,Gang,9,,,,,1,,2,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,53,25.03.1953,Fort Hall,HZR 4525,Contact,Guard,,Gang,6,,,,,,1,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,54,25/26.03.1953,Ichinara S.N.R,HZR 5440,Contact,Mau Mau,,Guard,,,,,,,,,,1,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1322_1L,,55,26.03.1953,Kioru Fort Hall,HZR 2630,Contact,Guard,,Gang,6,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,57,26.03.1953,Embu,HZR 6647,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,58,26.03.1953,Hickman's Farm Nanyuki,HAC 8104,Theft,Mau Mau,,Livestock,,5,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,59,27/28.03.1953,Nucharago S.N.R,,Contact,Mau Mau,40 to 50,Guard,,,,,,10,5,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,60,28.03.1953,Hoppen's Farm Mweiga,HZR 2362,Contact,Guard,,Gang,,,,,,2,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,61,28.03.1953,Nyeri Hill,HZR 3453,Contact,Guard,,Gang,,,,,,,1,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1323_1L,,63,26.03.1953,Hickman's Farm Nanyuki,HAC 8104,Theft,Mau Mau,,Livestock,,5,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,64,27.03.1953,Nurariandia Fort Hall,HZR 3519,Contact,Mau Mau,,Guard,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,65,27.03.1953,A.Hook's farm,HZR 5697,Contact,Mau Mau,,Police Constable,,,,1,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,66,27.03.1953,S.S.Bastard's Farm Nanyuki,HZR 3390,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,67,28.03.1953,Gikondi Loc S.N.R,HZR 4933,Murder,Mau Mau,2,Civilian,,,,,,,,,1,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,68,28.03.1953,Aguthi Loc S.N.R,HZR 4347,Contact,Mau Mau,6,Guard,,,1,1,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,69,28.03.1953,Cole's Estate,HZR 3575,Contact,Mau Mau,5,Guard,,,,,,,1,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1324_1L,,70,28.03.1953,Airfield Camp Nanyuki,HAC 4604,Contact,Mau Mau,,,,,,,,,1,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,71,28.03.1953,Loc 11 F.H,HZR 5219,Contact,Guard,,Gang,5,,,,,,1,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,73,29.03.1953,Kariko S.N.R,HZR 3137,Arson,Mau Mau,,House,,1,,,,,,1,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,74,29.03.1953,Cole's Estate,HZR 3475,Contact,Guard,,Gang,,,,,,,,2,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,75,30.03.1953,Timau,HAC 7005,Contact,Guard,,Gang,6 to 8,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,77,30.03.1953,Huthagati S N R,HZR 5352,Contact,Guard,,Man,,,,,,,,,,1,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1325_1L,,78,30.03.1953,Gura River,HZR 3045,Contact,Guard,,Gang,3,,,,,2,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1326_1L,,80,30.03.1953,Aberdares Forest,HZR,Contact,Guard,,Gang,,,,,,1,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1326_1L,,81,30.03.1953,Gaturi F.H,HZR 5629,Contact,Guard,,Men,3,,,,,,1,2,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1326_1L,,83,30.03.1953,Kinnjegge Chief Loc Embu,HZR 6728,Arson,Mau Mau,,Police Post,,,,,,,,,,,
1,Central Province,Fortnight Ended March 31 st 1953,Central_Province_FCO_141-5746_IMG_1327_1L,,,,,,,,,,,,,,,,,,,,
1,Central Province,Fortnight Ending 31st March 1953,Central_Province_FCO_141-5746_IMG_2597_1L,,Mar-53,19.03.1953,,,Capture,Guard,,Mau Mau,,,,,,,,16,,,
1,Central Province,Fortnight Ending 31st March 1953,Central_Province_FCO_141-5746_IMG_2598_1L,,May-53,19.03.1953,Kiaria,,Arson,Mau Mau,,Hut,,,,,,,,,,,
2,Central Province,Fortnight Ended 11th April 1953,Central_Province_FCO_141-5746_IMG_1294_1L,,,23.04.1953,,,,,,,,,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,84,26.03.1953,Hickson's 'Embori' farm,HAC 8104,Theft,Gang,35 to 40,Livestock,,5,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,85,26.03.1953,Mioro,HZR 2630,Contact,Guard,,Gang,,,,,,1,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,86,27.03.1953,R.Hook's Farm,HZR 5597,Contact,Mau Mau,,Guard,,,,1,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,86,27.03.1953,R.Hook's Farm,HZR 5597,Theft,Mau Mau,,Arms,,1,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,87,27.03.1953,S.S.Bastard's Farm,HZR 3390,Kidnap,Mau Mau,,Civilian,,1,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,87,27.03.1953,Huth's Farm,HZR 4386,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,89,27/28.03.1953,Mucharaga,HZR 3136,Contact,Mau Mau,,Guard,,,10,5,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1298_1L,,90,27.03.1953,Huriri-Andia,HZR 3619,Contact,Mau Mau,,Guard,,,2,1,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,91,27.03.1953,Muriri-Andia,HZR 3619,Theft,Mau Mau,,Arms,,11,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,92,27.03.1953,Gukurwa,HZR 4632,Contact,Guard,,Gang,,,,,,1,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,93,28.03.1953,Gathon,HZR 5219,Contact,Guard,,Terrorist,,,,,,,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,94,28.03.1953,Nyeri Hill,HZR 3453,Contact,Guard,,Gang,,,,,,,1,1,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,96,28.03.1953,Mweign,HZR 2362,Contact,Mau Mau,,Guard,,,,,,2,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1299_1L,,97,28.03.1953,Gikondi Loc,HZR 4933,Murder,Mau Mau,,Headman,,,,,,,,,1,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,98,28.03.1953,Geki Aguthi Loc,HZR 4347,Kidnap,Mau Mau,,H/Guard,,1,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,98,28.03.1953,Geki Aguthi Loc,HZR 4347,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,99,28.03.1953,Gola's Estata,HZR 3575,Contact,Guard,,Gang,,,,,,,1,2,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,101,28.03.1953,Hook's Fram,HZR 3933,Captured,Guard,,Gang,4,,,,,,,4,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,102,28.03.1953,K.S.A. Airfield,HZR 4604,Attack,Mau Mau,5,Civilian,,,,,,,,,,1,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,103,28.03.1953,J.H Randall's Farm,HAC 5002,Captured,Guard,,Gang,3,,,,,,,1,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1300_1L,,104,28.03.1953,Airfield Camp,HAC 4604,Attack,Mau Mau,,Civilian,,,,,,,,,,1,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1301_1L,,106,29.03.1953,Sirimon River,HAC 7005,Contact,Guard,,Gang,6 to 8,,,,,,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1301_1L,,107,29.03.1953,Rickson's Embori Farm,HAC 8104,Theft,Mau Mau,5,Livestock,,1,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1301_1L,,110,29.03.1953,Rokaro,HZR 3336,Arson,Mau Mau,,Hut,,1,,,,,,1,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1301_1L,,111,29.03.1953,Gukurwa,HZR 4832,Contact,Mau Mau,,Evangelist,,,,,,1,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1301_1L,,112,30.03.1953,Ichichi,HZR 2722,Captured,Guard,,Gang,,,,,,,,2,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,114,30.03.1953,Mathoya,HZR 4829,Contact,Guard,,Gang,,,,,,1,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,115,30.03.1953,Jambo Bwana,HZR 0629,Contact,Guard,,Gang,,,,,,,1,2,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,116,30.03.1953,Fort Hall,HZR 0121,Contact,Guard,,Gang,,,,,,,,3,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,118,30.03.1953,Kianjegge,HZR 6337,Arson,Mau Mau,,Police Post,,,,,,,,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,119,30.03.1953,Gura River,HZR 3045,Contact,Guard,,Gang,,,,,,2,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1302_1L,,120,30.03.1953,National Park,,Contact,Guard,,Gang,,,,,,,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1303_1L,,121,30.03.1953,Ruthagati,HZR 5352,Contact,Guard,,Gang,,,,,,,1,,,,
2,Central Province,25th March to 11th April 1953,Central_Province_FCO_141-5746_IMG_1303_1L,,122,31.03.1953,Embu,HZR 9342,Captured,Guard,,Gang,,,,,,,,4,,,
